camera_id,name,lat,lon,area,score,level,vehicles,pedestrians,signals
6a85384f-d82e-4bff-b5f1-15c22cca70e6,8th Ave @ 33rd St,40.751512,-73.993913,Manhattan,10.1,medium,9,2,1
0267c1e2-6eaf-49d4-a063-df89e9242993,FDR Dr @ 79 St,40.770256,-73.947626,Manhattan,14.0,medium,14,0,0
db5f8b82-99b1-45f3-a520-7d1f91d0a49a,1 Ave @ E 14 St,40.731331,-73.982561,Manhattan,3.3,low,2,1,2
9bd74b87-32d1-4767-8081-86a2e83f28f2,12 Ave @ 42 St,40.761978792937,-74.0010637153985,Manhattan,1.3,low,1,1,0
a409e9bd-6a0f-4cdc-81d8-290d5709dc74,FDR @ 38 St,40.7458,-73.9705,Manhattan,11.0,medium,11,0,0
0ff11926-fcf0-4e3b-8aea-ffc0ea4f2228,West Houston @ Hudson St,40.728739,-74.007137,Manhattan,6.5,medium,6,0,1
2a0021de-869a-4a31-b151-0be7f78d9c05,MHB-17 Manh LRW @ X OVER,40.712361,-73.993504,Manhattan,0.0,low,0,0,0
7d10cfbb-0465-4958-90fc-ddd5349d6635,West St @ Canal St,40.725812,-74.011063,Manhattan,7.0,medium,7,0,0
17855127-7fe2-45d4-920c-ed14e80ec4d7,Third Ave Bridge,40.807061,-73.933681,Manhattan,13.0,medium,13,0,0
879ab924-18ac-4779-a681-395d73a0f0cc,Madison Ave @ E 44 St,40.754038,-73.97827,Manhattan,3.3,low,3,1,0
7cfc551d-403d-46a8-aa74-89f472b7136b,Broadway @ Battery pl,40.70461,-74.0142,Manhattan,4.6,low,4,2,0
08e77bd0-c673-4303-b772-243fdee28d6c,BB-28A Manhattan Tower North,40.707365,-73.998188,Manhattan,0.0,low,0,0,0
16de4b9a-83fe-4d11-91cd-d775cc1e559c,FDR Dr @ 111 ST,40.791666,-73.935403,Manhattan,12.0,medium,12,0,0
6c2996f1-3d8f-44a9-8ce0-a827ae8d3680,FDR @ 145 St,40.81961,-73.9342,Manhattan,4.0,low,4,0,0
4f3f56e3-f68e-4b60-a4ba-153ecb9094f7,6 AVE @ 50 St,40.75994,-73.9805,Manhattan,8.0,medium,8,0,0
7a6da464-d347-438c-b599-818760cc218b,11 Ave @ 49 St,40.765188,-73.99499,Manhattan,15.5,high,12,0,7
0b0cbcfb-7c14-4b94-8bac-be494472c396,Amsterdam @ 86 St,40.787693,-73.975016,Manhattan,6.0,medium,6,0,0
9565e94d-66f2-4965-9c13-82d5500d6cfd,Broadway @ 42 St,40.7558094297322,-73.9864124090652,Manhattan,2.8,low,1,6,0
bf8404ae-6ab7-47a1-8b3e-2f57f537a71f,5 Ave @ 96 St,40.787916,-73.955752,Manhattan,5.5,medium,4,0,3
4048d465-2272-446e-bccb-c49ea6d62bd3,FDR Dr @ BPU Entrance,40.701797,-74.010764,Manhattan,9.0,medium,9,0,0
ccd1abb9-0683-4d93-a62f-b2b121612d28,9 Ave @ 42 St,40.7584430039686,-73.9926394975013,Manhattan,10.9,medium,8,8,1
28107d1c-08da-4cd3-9777-09471ca30225,Henry Hudson Pkwy @ 96 St,40.795618,-73.976183,Manhattan,5.0,medium,5,0,0
3546896d-d4c6-4966-8a43-2fe62e26526f,E 8 St @ Lafayette St,40.730175,-73.991076,Manhattan,1.9,low,1,3,0
02d7db8e-481d-477e-9cdb-a2b6c6ec1ca3,2 Ave @ E 14 St,40.732373,-73.984954,Manhattan,5.0,medium,5,0,0
5efba010-6a58-4df5-ae2c-ef1eda48fad0,West street underpass entrance,40.70858,-74.0153,Manhattan,1.0,low,1,0,0
bff66919-97a3-47ca-b16d-ca07ff93a546,Lexington Ave @ 23 St,40.7395059171263,-73.9847405603646,Manhattan,5.8,medium,3,6,2
3dc1adcd-7a47-45c3-a667-9d8fae9fdcd0,8 Ave @ 14 St,40.7397525513578,-74.0025212013102,Manhattan,6.3,medium,6,1,0
